character;quarter_weights;normalized_quarter_weights;center_x;center_y;normalized_center_x;normalized_center_y;inertia_x;inertia_y;normalized_inertia_x;normalized_inertia_y
a;[38, 51, 59, 61];[0.3140495867768595, 0.4214876033057851, 0.44696969696969696, 0.4621212121212121];10.440191387559809;11.913875598086124;0.4745541539799913;0.5179945912211358;10278.449760765552;6569.502392344491;20.313141819694767;12.983206308981208
b;[83, 39, 78, 76];[0.3547008547008547, 0.16666666666666666, 0.3333333333333333, 0.3247863247863248];12.221014492753623;19.579710144927535;0.4700390189520624;0.5438808373590982;24053.246376811596;12495.518115942063;25.697912795738883;13.349912517032118
c;[37, 34, 61, 35];[0.33636363636363636, 0.2809917355371901, 0.5083333333333333, 0.26515151515151514];8.652694610778443;11.838323353293413;0.4120330767037354;0.5147097110127571;8704.634730538923;5233.856287425148;18.022018075649942;10.836141381832606
ç;[61, 36, 44, 60];[0.38125, 0.20454545454545456, 0.25882352941176473, 0.32085561497326204];9.009950248756219;14.582089552238806;0.4290452499407723;0.4418815015829941;16364.89552238805;5435.9800995024825;23.61456785337381;7.84412712770921
d;[22, 86, 95, 84];[0.09401709401709402, 0.36752136752136755, 0.405982905982906, 0.358974358974359];12.874564459930314;20.975609756097562;0.49517555615116593;0.5826558265582656;28402.829268292688;13107.484320557434;30.344903064415263;14.003722564698114
e;[43, 58, 60, 36];[0.39090909090909093, 0.4793388429752066, 0.5, 0.2727272727272727];9.48730964467005;11.187817258883248;0.45177664974619286;0.48642683734274994;9200.050761421318;6131.2182741116785;19.047724143729436;12.694033693813
f;[71, 43, 84, 4];[0.39444444444444443, 0.21717171717171718, 0.4666666666666667, 0.020202020202020204];8.064356435643564;16.88118811881188;0.384016973125884;0.4689218921892189;25029.1485148515;3446.1633663366347;33.107339305359126;4.558417151238935
g;[71, 75, 87, 73];[0.3480392156862745, 0.3393665158371041, 0.4264705882352941, 0.33031674208144796];11.300653594771243;16.856209150326798;0.4520261437908497;0.4957708573625529;31743.673202614358;12078.339869281068;37.34549788542866;14.209811610918903
ğ;[67, 82, 113, 91];[0.2537878787878788, 0.2867132867132867, 0.40942028985507245, 0.30434782608695654];11.365439093484419;24.623229461756374;0.45461756373937673;0.5471828769279194;55876.88951841361;12755.858356940498;49.668346238589876;11.338540761724888
h;[81, 30, 85, 83];[0.34615384615384615, 0.1282051282051282, 0.36324786324786323, 0.3547008547008547];11.050179211469533;20.810035842293907;0.4250068927488282;0.5780565511748308;27496.93189964157;12631.297491039413;29.37706399534356;13.494975951965184
ı;[24, 33, 28, 40];[0.36363636363636365, 0.42857142857142855, 0.3888888888888889, 0.47619047619047616];5.904;11.584;0.45415384615384613;0.5036521739130435;6008.368;400.8479999999998;20.094876254180605;1.3406287625418054
i;[20, 28, 40, 58];[0.18518518518518517, 0.2222222222222222, 0.37037037037037035, 0.4603174603174603];5.917808219178082;21.335616438356166;0.45521601685985247;0.5926560121765602;15212.554794520554;435.0136986301368;32.505458962650756;0.9295164500643949
j;[1, 70, 25, 88];[0.006211180124223602, 0.3804347826086957, 0.1488095238095238, 0.4583333333333333];9.869565217391305;27.03804347826087;0.6579710144927536;0.5752775208140611;33300.733695652176;1844.8695652173933;47.23508325624422;2.6168362627197066
k;[93, 25, 120, 69];[0.3974358974358974, 0.0992063492063492, 0.5128205128205128, 0.27380952380952384];9.723127035830618;20.742671009771986;0.36011581614187477;0.5761853058269996;32224.67100977199;9655.465798045612;33.15295371375719;9.933606788112769
l;[39, 54, 40, 58];[0.3611111111111111, 0.42857142857142855, 0.37037037037037035, 0.4603174603174603];5.9109947643979055;18.01047120418848;0.45469190495368506;0.5002908667830134;22285.97905759163;555.4869109947638;47.61961337092229;1.1869378440059055
m;[100, 93, 96, 108];[0.45454545454545453, 0.4025974025974026, 0.4, 0.42857142857142855];19.612090680100756;11.032745591939547;0.4783436751244087;0.4796845909538933;20114.574307304796;50050.261964735444;21.330407536908584;53.07556942177672
n;[57, 54, 58, 59];[0.3986013986013986, 0.3776223776223776, 0.3717948717948718, 0.3782051282051282];12.302631578947368;11.12719298245614;0.4731781376518219;0.4837909992372235;12129.311403508775;10660.118421052628;20.283129437305643;17.82628498503784
o;[46, 54, 60, 50];[0.3484848484848485, 0.4090909090909091, 0.4166666666666667, 0.3472222222222222];11.452380952380953;10.99047619047619;0.4771825396825397;0.47784679089026916;8881.980952380953;10716.023809523815;16.090545203588682;19.413086611456187
ö;[47, 51, 82, 75];[0.24479166666666666, 0.265625, 0.4019607843137255, 0.36764705882352944];11.435294117647059;17.7921568627451;0.47647058823529415;0.5391562685680333;21133.984313725483;11688.682352941189;26.684323628441266;14.758437314319682
p;[79, 94, 85, 26];[0.3574660633484163, 0.4253393665158371, 0.38461538461538464, 0.11764705882352941];12.221830985915492;13.721830985915492;0.47007042253521125;0.4035832642916321;27137.024647887338;13197.024647887343;30.69799168313047;14.92876091389971
r;[50, 29, 56, 5];[0.5050505050505051, 0.29292929292929293, 0.5185185185185185, 0.046296296296296294];7.271428571428571;9.835714285714285;0.403968253968254;0.42763975155279504;7865.221428571428;1943.6857142857134;18.998119392684607;4.694893029675637
s;[44, 29, 31, 57];[0.5, 0.29292929292929293, 0.3229166666666667, 0.5277777777777778];7.950310559006211;11.29192546583851;0.46766532700036534;0.49095328112341347;8011.2795031055875;3339.602484472048;20.48920589029562;8.541182824736696
ş;[51, 59, 36, 50];[0.3984375, 0.4097222222222222, 0.2647058823529412, 0.32679738562091504];7.954081632653061;14.295918367346939;0.46788715486194477;0.4332096474953618;16386.836734693887;3422.5867346938767;29.21004765542582;6.100867619775181
t;[39, 27, 43, 33];[0.37142857142857144, 0.225, 0.38392857142857145, 0.2578125];6.387323943661972;16.3943661971831;0.42582159624413146;0.5288505224897774;10131.915492957747;825.6971830985913;21.78906557625322;1.7756928668786909
u;[49, 49, 59, 60];[0.34265734265734266, 0.34265734265734266, 0.3782051282051282, 0.38461538461538464];12.599078341013826;11.377880184331797;0.48457993619283946;0.49469044279703467;10823.013824884803;10062.119815668157;18.09868532589432;16.82628731717083
ü;[52, 51, 79, 80];[0.25, 0.24519230769230768, 0.3574660633484163, 0.36199095022624433];12.557251908396946;18.198473282442748;0.48297122724603636;0.5514688873467499;23673.679389312932;11036.64122137407;27.591700919945144;12.863218206729686
v;[61, 30, 33, 27];[0.42657342657342656, 0.2097902097902098, 0.21153846153846154, 0.17307692307692307];11.635761589403973;8.556291390728477;0.44752929190015284;0.3720126691621077;6157.271523178809;4706.96688741722;10.296440674212056;7.871182085981974
y;[82, 52, 54, 20];[0.37104072398190047, 0.23529411764705882, 0.24434389140271492, 0.09049773755656108];10.927884615384615;13.802884615384615;0.4203032544378698;0.40596719457013575;23060.918269230795;6669.918269230771;26.087011616776916;7.545156413156981
z;[27, 62, 68, 32];[0.2231404958677686, 0.512396694214876, 0.5151515151515151, 0.24242424242424243];10.492063492063492;11.301587301587302;0.4769119769119769;0.49137336093857836;12513.809523809536;5587.238095238104;24.73084886128367;11.041972520233406
